#SEQUENCES                                                                                             #Rg Values

1111211111112121221121112111122212221112211121221211222211122211222211221121111122121221111121111121   2.87045
1121221111212122211111111122212111221111211121121111121221221122222112121112111121211222212121112211   2.93137
1112121121221112111111112112121212111211122121211211111222112122112211212222112212121122111211211221   3.13169
2121211111121122221122111212211112221111111212111222121212121122111211211111122111112112211212211222   2.98615
2221122211221221211111121111121112122212112111121111212122211121111112221111122211122122121111222111   3.04033
1112211112111111112211111121212122221122211122221112121122212221111112221111111211221121221211121212   2.92454
1221211111121112122122121111212222111111221111211121211121222211122111121111112211212222112212111122   2.97166
1111221111212121211121122122111212211111121122222222211111222111122111211112222111111211212111112212   2.84334
1112211121121122111121112211111211212112121212222111122222211221111112222111121121121122112121212111   2.994
2221212111112211111121212121222111121111121211122111211212112211121221212212211111122112112112221121   2.98232
1111111111121112121212112112111212212211122211211111221121221221211112221111211212211122122121122122   3.01491
1111211221212122122121112111211211111112111111111212121221211121111121222111221122121222112212222121   3.24225
2212122111211212211111111212111121111112222122222121211222111121121222112211111222111121111121122111   2.95133
2111212212212121121111111221122112211112221122211211211121211221112112112211112122112121111221221111   3.04632
1111222112111212212221222121211121211111222211211112111221111112122112121112111212121222121112112111   3.01613
1222211212121111212221211111221211211112122212212121111212111112112211112121111211211211222112221111   3.01399
1211112121111112112121122211211221112122121222212121111121122121111122112111211221111212212211111222   2.9906
1122112111112221211211221221112111112112121121211111221211221122111211221111121221112122121121121222   3.07166
2212121122121121111221211211111122121112112111122111121221112222121211121122111121221211211211212121   3.0338
1112111121122111222112111212211121212221112221121111111212111222111112111221121211211222222111211221   3.02844
1111111121111121221222221222111211111111221111122212221211211211211221111112121212111112121222121222   3.01192
2221112222122221111121211111121212122122111121122122112111112211121212111211111221112111211222121111   3.1407
2221121121111221212212211111121212222111112122122111121111221211211211111112222211121111212221121111   2.89002
1221211121111112111112211122112211222221112111222221121111111211112112211121111222122121111121222122   2.9859
2111111112212112212122211221111211112111111211112111221221111212111221111212122222112111122212222211   3.01362
1112222112221221121212221112211112112121111211221212211111112111111211121221212211211112121121221112   3.14639
1222222122121221221121122211212211112111111121111212112112221111111121222111112111221111112111211222   3.23181
1111111122111211121112121221121111212121111221212112121211111121212122122212212121212111222221121121   3.02887
2112222121111111111121221121211211211222112212122211212221212121212111211121111122221121111122111111   2.99548
2111122211212211111211111112112121222122122221111211221112111211211112111222112221211111121121122122   2.98526
2121112212221121111112212111221111211112112111111121222121111211121221221121121222122211112212121121   3.1656
1212211212111121212121211111112212122111211222111111212121111111122112211112222212211121122112112122   3.02727
2221211222112111211111211112112111212222112111112111112222211211112222111111211222221211122211111112   2.94858
2121212111112111112212122212111212211121111111211112112121222211212222111111121211112221122121211212   2.99966
1122121222111112121221111121212211112112111221111211212122212112121111122111112112111222221211222111   3.10027
1221221121212112112111221111221122211211122112221121121211121121111212211221121112111211211121121212   3.2079
2211212122222111111111121112211111111111221111122111211212222222122111122111221112121211112222211112   3.04261
2211111121112111112122111111212121121122112121112112111222112222211121221211112211212212222111112211   3.0343
2211221121112222112212111211122122212121111211121111212111211111212111112221212112111121222211212111   3.03751
