#SEQUENCES                                                                                             #Rg Values

2222212211221212221211122122111212121222222111122222222211221221222121221122211221111222111222221121   5.16024
2111112112111121211121222122212122222222121221222122122222221221122211122222121122122212212112222211   5.14817
1121222222221211122111221112122221212211212212112112222222212222212221121112222221212122121212212121   5.08708
1221121221221212121212111112121122222121121222221111222122222122222121212222122212222122112221211122   5.06951
2222211112221122112112121221221222222222121221221221221212212122212111222112121211212212112221212122   5.05994
2221111212112121112212222122222121221221122122222112121222222121222122221121222112211212211221121212   5.05215
1211222212121122112212221212112221121212121122221221221221212122112111122221221222122222112222212212   5.05154
1112222212122222112211121212122122222111221222222112212112121112222212222111122222122121211121222212   5.05103
2212122222211211122121222222121111221212212212122112222212122211121222211212221112212112212121221222   5.00598
2111222212222122121121111121211222221212212222212212211212221121112122222222221222211221121122212112   5.00563
2222111121222221111212221222222221211122221222112222212221221221112111122121111112112222221221222122   4.99324
1112122121222211122212212122222221121212222212112211222211112211122112221111222212222121222222111222   4.99088
1121222211222111211222122221221221212212212222122122112122122111121122211212222222122222112211222111   4.98559
1122111121122121222222121122121212111222222121212222211121222222111222221212221211221112222221212221   4.96936
2111112121112221211212121222222122122212212222221222211212212121221121112222222121221222221111212221   4.96882
1222111121212211222212212222122121211221111222211121212222111211222121122212222121122222222122112222   4.96649
1112211222112211221122221211221222121112212222121122112211122221112222222212221222122212122122221211   4.84151
2212121121111221221122211221212221212221111121212212212221122122222211222212222212222121211211122222   4.7203
2122212212121222222212221122121211222212222212212212122211221221212212211211112222121121212111121212   4.79455
1222122212211212122222221222221212221122222122121211121212122111211221211221221222112211121222122121   5.0966
2121121222222112222112222111111222221111222112222121122122222211221121122222222221111121122221122221   4.48253
2212112221122221221122122122111222211221121111211212111121222222212122122122212222121122222221122122   4.70612
1121211222121221212222121122112212222212222222221222112221222121122221211222111212121112112112222112   4.87865
1212221122121122111222122221112222121221112221221221112212112121222221121122122222222221121212121222   4.81261
2212211221121122222212211122222121122222211211212221212222221111222222112221121122121122212122211112   4.78618
2112112222222121222221212222122122222111222122212212212221221111212121111211211212211122121121222222   4.94847
2122222211122221111111221221212122222222222121122121121221111122122121222221212222121221221121211222   4.9248
2221122222222121211212222222121212222222222121112212112212122122211211121211221222222122111211121111   5.26293
2122122211222212221222222121121212111122211221211111122121121122221222212122222212212222111222221112   4.80797
1211212121212211112222222212122121222212211221122222221211112111121222122222222112221221212122122121   4.66198
2112211211112121221221121222221212221211221112212121221212222212111222121222112211212212222222221222   4.29636
1122221121222221222212111221122121122122222122222221112212212221112112211222221212212121222111221121   4.68247
1111221222212212122122112211211222111222221212211222121122122222122212221121121212221122112221222221   4.70232
1221222212222221112221121112211211222222221212222211211122121212122222222222111221212121211211212121   4.89908
2211121121221112112221122221222222121121221111122212211222222222212222211222121121211122122222211122   4.62055
1222221222212212221221111221112121112112112212111122221212121211222222111222122212222222221112212222   5.02319
1222121212122221222222122221121122112211121212111222222212221122222122222121111112122222121121112122   4.57527
2222212212211121122121222121222212211122222211111222121121222121112222221212112112112222122221222211   4.95446
2211222221121222121211221112111121221122122121221122222222211122222212222121212222212221212122112111   4.34093
2221211121221222222222221221221212221222111222211211212211211222212122121122211211111212221222221121   4.95439
2222211112112211112112122122122212222222211111212211111212122122212221222222222212112212221122221212   5.07612
2112222222212222211222122211211121222212111212121122212222112211221222112112221211211122222122121122   4.60894
2222122112212222221122111222121212112122222212111112212211222222222212211221112112122211211121212222   5.06697
2221121111112112212222221122221112221122221112222221212212221122122211212122222112122212112222112122   4.92973
1221221222221111211212222222121122212222222222211121211122112112212222212111112221122222212122111122   5.07014
2212222222222222111111111222222121122111122222211122222112221122121222222212212122111211212121112212   4.80418
1212221121222221211122221212222222112111222112112221221121222112221212122222111212221221211212221221   4.83753
1112211212212222222222222211222121221211112212222222221112121212122112122211212222212221111212211211   4.92303
2221222221222222222221212112111212221112221111111121112221121122221122221111222122111222222221222221   4.39901
2122221222112122222221111211121222221211222211221112121112121222222222212122112211122212211122222121   4.52798
2222111211222221122122211112121221211221222111112122111111121212222212222212221222122222222211221222   4.6624
1221122212221111111211222122211222121121222211222112211112122211222221222222222211221222211211222122   4.70098
1221121221112211221212221111122211222121112121221122112222222212221122222211112122222222221122221212   4.88839
2111222212222122211122122122211121222222122122121222221221122112122211111221222221122122211211121221   4.8067
2212112211111212212212121112222122112212222211122221222211112222221212211222111212222221122222212112   4.94193
2212211212222222122121221112121212212112212222112121212222222211212222221112221222121122112111212121   4.89608
1221112122222121111122111212122221222122122212211212222112222222221212222121211222221122122111211221   4.87703
2212211212221112121222222222222111121212122212212222122122222222221111111221211221112111222212211122   4.687
2111222221212221122122211221112112111222221212221112122212222212212221121212222111222211222212112221   4.90846
2111112221221112111221121212222222222121212112112211222222122211222222112212122122111222222112122212   4.95129
1222122112121112221122222222222122111121222121221122212222221112121222212112111212212221212221212211   4.77251
2222221111211222212212112121212211222121122211121212221212122221122222121122222111122222221111212222   4.58044
1111222121221212212212222212121122121122122222111222122111111222112222112122221122122122222222212121   4.50525
2221221222111111121222122122122122122222212211212121221221122212221121122221222112221212212212212111   4.75219
2222121221112211221212222121212211222121122211121212221212122221122222121122222111122222121111212222   4.6922
2222222112121112221122221112121221211221222111112122111111121212222212222212211222122222222211221222   4.50011
2222222222221112121222222112121212221112221111111121112221121122221122221111222122111222222221222221   4.29605
2122221222112122222221111221112112111222221212221112122212222212212221121212222111221211222212112221   4.62742
2222221222111111121222121111122211222121112121221122112222222112221122222211112122222222221122221212   4.49003
2212211212221112121222222212121121121122122222111222122111111222112222112122221122122122222222212121   4.8428
1221112122222121111122111212222222222121212112112211222122122211222222112212122122111222222112122212   4.72157
2222222211222221122122211112121212212112212222112121212222222211212222221112221222121122112111112121   4.55501
1111111212222222122121221112222122112212222211122221221211112222221212211222111212222221122222212112   4.62605
2211222221212221122122212222222111121212121212212222122122222222221111111221211221112111222212211122   4.65211
2212112211111212212212122122122122122222212211212121221221122212221121122222222112221212212212212111   4.95947
1112211212221112121222221112222122112212222211122221222211112222211212211222111212222221122222212112   4.82835
1212211212221112121222222122122122122222212211212121221221122212221121122121222112221212212212212111   4.95643
1112221111211222212212111112222122112212222211122221222211112222221212211222111212222221122222222112   4.93452
2222211212221112121222221221112112111222221212221112122212222212212221121112222111222211222212112221   4.86053
1212112211111212212212122122211222121121222211222112211112122211222221222222222211221222211211222122   4.99557
2222222222222221111211221112121212212112212222112111212222222211212222221112221222121122112111212121   4.92759
2221122212221111111211221111122211222121112121221122112222222212221122222211112122222222221222221212   4.82031
2222222212221112121222221112121212212112212222112121212222222211212122221112221222121122112111212121   5.21918
2222222221111212112212122222222111121212122212212222122122222222221111111221211221112111222212211122   4.7684
1111122212222122211122122121212211222121122221121212221212122221122222121122222111122222221111212222   5.02888
1111222221212221122122211112121221211221222111112122111111121212222212222212221222222222222211221222   4.88112
2211222121221212212212222222222111121212122212211222122122222222221111111221211221112111222212211122   4.6213
