#SEQUENCES                                                                                             #Rg Values

1111111111111111111111111111111111112211111111122222222222222222222222221222222212222222222221221212   4.70913
1221122221222111221211221121222211111122212111211222112221222222111121111121212121211122112111222221   3.52856
1212112121212212112211121222122221121222122111112211112112121111211122221111122112221212222221222121   3.78269
2122211222111221121122122111212221222122212122122121211111112111211122112121211122221112112211222221   3.82037
1211112222212122112112112121222212111112122111222222122212212211212122222122111121221221111111212111   3.46982
1122212111121221212112122221221112111121212121222211111122222222212212211222122112212221111122111111   3.44531
2121112121111222212211211212212222112121221212111221111122111221121211211122212211122222211112221222   3.55522
1221211211111212221112122121222122121112222111111121211222122122212222121111212212122112211121222121   3.56877
1221221121122121212112111121212212211221221212121112111111112222212112111122221222212212221122221112   3.60832
1221121211222112211212221121221222112221121121212212122111111221121112112122211211212122222211122121   3.7529
1211122212221222121111122212121111211122122111121212221211222212211122112121222221111111221222121122   3.48696
2112121121112222222211221221121222222121111211122221221121121211221211221222111111221111212122112121   3.79589
2212211122111211222121122111122122221211122122112211111112122212111222121121212121221222111222121212   3.66824
1221122221112112212111212212211112221222222211211211111122212212221112111122121122111221111221222221   3.56447
2121212111111122222112221211211112211221212211222122221212121111222112221122222122221122111112211111   3.56292
1222111211122211112121222211222221221111111221121222121212112122212212111211111222121222211221221112   3.5105
2111222211222112111112111111111212111211221211112222221222121111222212212221112121212222122212212221   3.92035
2111211112221121122122121112221122221221112111121211122211122111222211121211222212221211222112221212   3.87356
1222111111211121121112212212212221112222211121111212122222112212111121211212211121222112122222122221   3.52652
2221212212222111121111222111221111122221222111211211211112121111122121122112222222122221212212211112   3.64453
2222111122221122112222111111112222212112111222222122221221212211122111211222211222112211212111111111   3.47206
1221221111121212212121221221122222221111221221222112121111211122211122221111212222122211121111111222   3.55768
1221211111222121211111121221121221221212121222121211221111122122222221211211121111212222122112222211   3.39053
2221212112211222222212121112111222122111112121111122212112211221212121122121121111211221222121211222   3.59025
1122111112212222121221212222122122212121121111222221212111112212112111122111222212211211211222211121   3.5981
2112211212122122122121111221121212121122212212112121112212212222212111111112222112121221112212221211   3.81643
2122221211121222111222112221122211221212122222112212111112111211222212212121112121212212111211211112   3.81411
1221211221121121222222111222211212122211111121121211222121122122221212122122111112122212211122111112   3.82623
2112221121222221121212211211222222121121122211212221122121112211122121221221221121211111211211121112   3.84713
2121211222121211111212222111111222112122122212112111112221121222112122121111222222122211212211211212   3.61178
2111222122121212222221112122221212121111111112211122222211111111121121221212211122221211222122121122   3.52801
1112221111212221222212221212122112221211121112121212112121122221221211111112112121122222121122121212   3.77674
2212221111221212221112112122111122222212111211122222122212121211111212222211112221111111221122221121   3.48895
1211122222111221121222221221111111121212112222121212121222221212221222111222111111212221211111121122   3.31954
2112122212111121211211111112212111221122122211122222212121222222221212111111211211112221112122222212   3.32354
1121211121221111211211212212121122222122211221122222122211111211122112112221222122211122211211222111   3.44915
1122221212122211222111222222112212221211212211111111122112222222122212111111111212222121121112121211   3.53967
1122212222112111222112111122212211211211222222122211122122121211121211111111222121122222212112121112   3.64014
